Offset(P)            #Ptr   #Hnd Access Name
------------------ ------ ------ ------ ----
0x0000000000653038      5      0 R--r-d \Device\HarddiskVolume1\Windows\System32\wbem\WmiPrvSE.exe
0x0000000000653cd0      8      0 R--rw- \Device\HarddiskVolume1삈饡0
0x0000000000658820      6      0 R--r-d \Device\HarddiskVolume1\Windows\System32\clusapi.dll
0x0000000000658990      3      0 R--r-d \Device\HarddiskVolume1\Windows\System32\sscore.dll
0x0000000000658cb0      6      0 R--r-d \Device\HarddiskVolume1\Windows\System32\resutils.dll
0x0000000000658d58      2      1 ------ \Device\NamedPipe\
0x00000000007a0c20      2      1 ------ \Device\Afd\Endpoint
0x00000000007a0dc8      2      1 ------ \Device\NamedPipe\
0x00000000007a0e80      1      1 ------ \Device\NamedPipe\srvsvc
0x0000000000c4a568      6      0 R--r-d \Device\HarddiskVolume1\Windows\System32\diagperf.dll
0x0000000000c4a6c0      7      0 R--r-d \Device\HarddiskVolume1\Windows\System32\PortableDeviceApi.dll
0x0000000000c4add0     16      1 RW-r-- \Device\HarddiskVolume1\Windows\System32\winevt\Logs\Microsoft-Windows-Diagnosis-DPS%4Operational.evtx
0x0000000000c59318      5      0 R--r-d \Device\HarddiskVolume1\Program Files\LibreOffice 3.6\program\configmgr.uno.dll
0x0000000000d52730      9      1 RWDrwd \Device\HarddiskVolume1\Users\JOHNDO~1\AppData\Local\Temp\~DF0A247EB32CE4CAD9.TMP
0x0000000000d52ac0      5      0 R--r-d \Device\HarddiskVolume1\Windows\System32\msvcp60.dll
0x0000000000d95038      1      1 R--rw- \Device\HarddiskVolume1\Windows\System32
0x0000000000e46ae8      8      0 R--r-- \Device\HarddiskVolume1ꑐ锎sers\John Doe\AppData\LocalLow\Microsoft\CryptnetUrlCache\MetaData\E63A640A06A2B005AB42F3250BC98D9E_6020995806BF99A1FBC324A7B889F612
0x0000000000e46ec8     10      1 R--r-d \Device\HarddiskVolume1\Windows\System32\en-US\ActionCenter.dll.mui
0x0000000000e46f80      7      0 R--rwd \Device\HarddiskVolume1\Windows\System32\umrdp.dll
0x00000000010d2778      6      0 R--rwd \Device\HarddiskVolume1\Windows\System32\devmgr.dll
0x00000000010d2f80      4      0 R--rwd \Device\HarddiskVolume1\Windows\System32\usbmon.dll
0x000000000120f560      7      0 R--rwd \Device\HarddiskVolume1\Windows\System32\WSDApi.dll
0x00000000013c6038      2      1 ------ \Device\NamedPipe\wkssvc
0x00000000013c6ca0      6      0 R--rwd \Device\HarddiskVolume1\Windows\System32\NetProjW.dll
0x000000000209f038      6      0 R--r-d \Device\HarddiskVolume1\Windows\System32\Apphlpdm.dll
0x0000000002181d90      5      0 R--r-d \Device\HarddiskVolume1\Windows\System32\tprdpw32.dll
0x000000000260a5b0      8      0 R--r-d \Device\HarddiskVolume1࢘鐀sers\John Doe\AppData\Local\Microsoft\Windows\Temporary Internet Files\Low\Content.IE5\813BBCSN\1357558414[1].jpg
0x000000000260a668      8      0 R--r-d \Device\HarddiskVolume1퀈ꌵsers\John Doe\AppData\Local\Microsoft\Windows\Temporary Internet Files\Low\Content.IE5\5OVMNIRD\server-14.2.0[1].js
0x000000000260a848      7      0 R--r-- \Device\HarddiskVolume1\Windows\Fonts\verdana.ttf
0x0000000002e944d0      1      1 R--r-d \Device\HarddiskVolume1\Program Files\Internet Explorer\en-US\iexplore.exe.mui
0x0000000003120778      1      1 R--rw- \Device\HarddiskVolume1\Windows\System32
0x0000000003942ba8      8      0 R--rwd \Device\HarddiskVolume1\Windows\System32\linkinfo.dll
0x0000000003a56158      6      0 R--r-d \Device\HarddiskVolume1\Windows\System32\taskhost.exe
0x000000000419b680      4      0 R--r-d \Device\HarddiskVolume1\Windows\System32\upnp.dll
0x000000000419b850      4      0 R--r-d \Device\HarddiskVolume1\Windows\System32\PortableDeviceConnectApi.dll
0x000000000419bb60      8      0 R--r-d \Device\HarddiskVolume1\Windows\System32\wpdbusenum.dll
0x00000000043d8af8      1      1 R--r-d \Device\HarddiskVolume1\Windows\System32\en-US\conhost.exe.mui
0x00000000043fc778      1      1 R--rw- \Device\HarddiskVolume1\Windows\System32
0x00000000045143d0      4      0 R--r-d \Device\HarddiskVolume1\Program Files\LibreOffice 3.6\program\dnd.dll
0x0000000004514550      3      0 R--rwd \Device\HarddiskVolume1\Windows\System32\d3d10_1core.dll
0x0000000004514a30      3      0 R--r-d \Device\HarddiskVolume1\Program Files\LibreOffice 3.6\program\drawinglayerlo.dll
0x000000000451d4e0      7      0 R--r-d \Device\HarddiskVolume1\Windows\System32\control.exe
0x000000000451dc00      3      0 R--r-d \Device\HarddiskVolume1\Windows\System32\wdiasqmmodule.dll
0x00000000045cbec8      8      0 R--rwd \Device\HarddiskVolume1\Windows\System32\cscdll.dll
0x0000000004812a80      1      1 R--rw- \Device\HarddiskVolume1\Windows\winsxs\x86_microsoft.windows.common-controls_6595b64144ccf1df_6.0.7600.16385_none_421189da2b7fabfc
0x0000000004812d78      1      1 ------ \Device\Afd\Endpoint
0x00000000048d7178      2      0 R--r-d \Device\HarddiskVolume1\Windows\System32\dimsjob.dll
0x0000000004c5e478      1      1 R--rw- \Device\HarddiskVolume1\Windows\winsxs\x86_microsoft.vc90.crt_1fc8b3b9a1e18e3b_9.0.30729.6161_none_50934f2ebcb7eb57
0x0000000004c5e530      7      0 R--rwd \Device\HarddiskVolume1\Windows\System32\MdSched.exe
0x000000000515f038      3      0 R--rwd \Device\HarddiskVolume1\Windows\System32\wdc.dll
0x000000000515ff30      8      0 R--r-- \Device\HarddiskVolume1\Windows\Fonts\dosapp.fon
0x00000000071efd90      5      0 R--r-d \Device\HarddiskVolume1\Windows\System32\tprdpw32.dll
0x00000000072827c8      5      0 R--rwd \Device\HarddiskVolume1\Windows\System32\seclogon.dll
0x0000000007282920      8      0 R--rwd \Device\HarddiskVolume1\ProgramData\Microsoft\Windows\Start Menu\Programs\Startup\desktop.ini
0x0000000007822410      4      0 R--rwd \Device\HarddiskVolume1\Windows\System32\tcpmon.dll
0x0000000007822a98      7      0 R--rwd \Device\HarddiskVolume1\Program Files\LibreOffice 3.6\program\svtlo.dll
0x0000000008171370      4      0 R--r-d \Device\HarddiskVolume1\Windows\System32\ntlanman.dll
0x00000000081714f0      7      0 R--rwd \Device\HarddiskVolume1\Windows\System32\ExplorerFrame.dll
0x0000000008171f80      2      0 RW-rwd \Device\HarddiskVolume1\$Directory
0x0000000008228708      8      0 R--r-d \Device\HarddiskVolume1\Windows\System32\consent.exe
0x0000000008228b20      7      1 RW-rw- \Device\HarddiskVolume1\Users\John Doe\AppData\Local\Microsoft\Windows\History\Low\History.IE5\index.dat
0x00000000082b9728      8      0 R--rwd \Device\HarddiskVolume1\Windows\System32\HotStartUserAgent.dll
0x00000000082b9a50      5      0 R--rwd \Device\HarddiskVolume1\Windows\System32\certCredProvider.dll
0x00000000082b9b60      1      1 R--rw- \Device\HarddiskVolume1\Windows\winsxs\x86_microsoft.vc90.crt_1fc8b3b9a1e18e3b_9.0.30729.6161_none_50934f2ebcb7eb57
0x00000000083c11a8      1      1 R--rw- \Device\HarddiskVolume1\Windows\winsxs\x86_microsoft.vc90.crt_1fc8b3b9a1e18e3b_9.0.30729.6161_none_50934f2ebcb7eb57
0x00000000083c1600      7      0 R--r-d \Device\HarddiskVolume1\Program Files\LibreOffice 3.6\program\unoxmllo.dll
0x00000000083c1a78      4      0 R--r-d \Device\HarddiskVolume1\Windows\System32\sppc.dll
0x00000000083fb6c0      4      0 R--r-d \Device\HarddiskVolume1\Program Files\LibreOffice 3.6\program\uuilo.dll
0x0000000008445c38      6      0 R--r-d \Device\HarddiskVolume1\Windows\System32\conhost.exe
0x0000000008445e60      2      1 ------ \Device\Afd\Endpoint
0x00000000084c44b8      6      0 R--r-d \Device\HarddiskVolume1\Program Files\VMware\VMware Tools\plugins\vmsvc\thinprint.dll
0x00000000084c4648      6      0 R--r-d \Device\HarddiskVolume1\Program Files\VMware\VMware Tools\plugins\vmsvc\timeSync.dll
0x00000000085c7230      1      1 R--rw- \Device\HarddiskVolume1\Windows\winsxs\x86_microsoft.vc80.crt_1fc8b3b9a1e18e3b_8.0.50727.4927_none_d08a205e442db5b5
0x0000000008631230      6      0 RW-rw- \Device\HarddiskVolume1\Users\John Doe\AppData\Local\Microsoft\Windows\Temporary Internet Files\Low\Content.IE5\index.dat
0x0000000008631df0      2      0 RW-rwd \Device\HarddiskVolume1\$Directory
0x0000000008748b58      8      0 R--r-- \Device\HarddiskVolume1\Windows\Fonts\cga80woa.fon
0x0000000008749648      8      0 R--r-d \Device\HarddiskVolume1\Windows\System32\en-US\conhost.exe.mui
0x0000000008749760      6      0 R--r-d \Device\HarddiskVolume1\Windows\System32\netcfgx.dll
0x0000000008749930      8      0 R--r-- \Device\HarddiskVolume1\ProgramData\Microsoft\Windows\Start Menu\Programs\Windows Fax and Scan.lnk
0x000000000874b738      1      1 R--rw- \Device\HarddiskVolume1\Windows\winsxs\x86_microsoft.vc80.crt_1fc8b3b9a1e18e3b_8.0.50727.4927_none_d08a205e442db5b5
0x000000000874b7f0      8      0 R--r-- \Device\HarddiskVolume1\Windows\Fonts\cga40woa.fon
0x000000000874bb58      8      0 R--r-- \Device\HarddiskVolume1\Windows\Fonts\ega40woa.fon
0x00000000089a8c70     11      1 RW-r-- \Device\HarddiskVolume1\Windows\System32\winevt\Logs\Microsoft-Windows-NetworkProfile%4Operational.evtx
0x00000000089bcbf0      3      0 R--r-d \Device\HarddiskVolume1\Windows\System32\wbem\WMIADAP.exe
0x00000000089bcec8      7      0 R--rwd \Device\HarddiskVolume1\Windows\System32\webservices.dll
0x00000000089bcf80      2      0 RW-rwd \Device\HarddiskVolume1\$Directory
0x0000000008be7178      2      0 R--r-d \Device\HarddiskVolume1\Windows\System32\dimsjob.dll
0x0000000008df0f80      5      0 R--rwd \Device\HarddiskVolume1\Windows\System32\dot3api.dll
0x0000000008f37d98      7      1 RWDrwd \Device\HarddiskVolume1\Users\JOHNDO~1\AppData\Local\Temp\~DFA63F59B0C681C479.TMP
0x00000000091bc1e8     10      1 R--rw- \Device\HarddiskVolume1\ProgramData\Microsoft\Search\Data\Applications\Windows\Projects\SystemIndex\Indexer\CiFiles\00010006.ci
0x0000000009266ed8      1      1 R--r-d \Device\HarddiskVolume1\Windows\System32\en-US\KernelBase.dll.mui
